X,T
  3.21003210E-03,  1.62012476E+02
  3.22003220E-03,  1.61711990E+02
  3.23003230E-03,  1.61411504E+02
  3.24003240E-03,  1.61112953E+02
  3.25003250E-03,  1.60814402E+02
  3.26003260E-03,  1.60517786E+02
  3.27003270E-03,  1.60221169E+02
  3.28003280E-03,  1.59926486E+02
  3.29003290E-03,  1.59631803E+02
  3.30003300E-03,  1.59339052E+02
  3.31003310E-03,  1.59046302E+02
  3.32003320E-03,  1.58755483E+02
  3.33003330E-03,  1.58464664E+02
  3.34003340E-03,  1.58175776E+02
  3.35003350E-03,  1.57886887E+02
  3.36003360E-03,  1.57599928E+02
  3.37003370E-03,  1.57312969E+02
  3.38003380E-03,  1.57027937E+02
  3.39003390E-03,  1.56742905E+02
  3.40003400E-03,  1.56459799E+02
  3.41003410E-03,  1.56176693E+02
  3.42003420E-03,  1.55895512E+02
  3.43003430E-03,  1.55614330E+02
  3.44003440E-03,  1.55335071E+02
  3.45003450E-03,  1.55055812E+02
  3.46003460E-03,  1.54778473E+02
  3.47003470E-03,  1.54501133E+02
  3.48003480E-03,  1.54225712E+02
  3.49003490E-03,  1.53950291E+02
  3.50003500E-03,  1.53676786E+02
  3.51003510E-03,  1.53403281E+02
  3.52003520E-03,  1.53131689E+02
  3.53003530E-03,  1.52860097E+02
  3.54003540E-03,  1.52590416E+02
  3.55003550E-03,  1.52320734E+02
  3.56003560E-03,  1.52052961E+02
  3.57003570E-03,  1.51785187E+02
  3.58003580E-03,  1.51519319E+02
  3.59003590E-03,  1.51253451E+02
  3.60003600E-03,  1.50989485E+02
  3.61003610E-03,  1.50725518E+02
  3.62003620E-03,  1.50463451E+02
  3.63003630E-03,  1.50201384E+02
  3.64003640E-03,  1.49941212E+02
  3.65003650E-03,  1.49681041E+02
  3.66003660E-03,  1.49422762E+02
  3.67003670E-03,  1.49164482E+02
  3.68003680E-03,  1.48908092E+02
  3.69003690E-03,  1.48651701E+02
  3.70003700E-03,  1.48397196E+02
  3.71003710E-03,  1.48142691E+02
  3.72003720E-03,  1.47890067E+02
  3.73003730E-03,  1.47637443E+02
  3.74003740E-03,  1.47386697E+02
  3.75003750E-03,  1.47135951E+02
  3.76003760E-03,  1.46887078E+02
  3.77003770E-03,  1.46638206E+02
  3.78003780E-03,  1.46391202E+02
  3.79003790E-03,  1.46144199E+02
  3.80003800E-03,  1.45899061E+02
  3.81003810E-03,  1.45653923E+02
  3.82003820E-03,  1.45410646E+02
  3.83003830E-03,  1.45167369E+02
  3.84003840E-03,  1.44925948E+02
  3.85003850E-03,  1.44684527E+02
  3.86003860E-03,  1.44444958E+02
  3.87003870E-03,  1.44205389E+02
  3.88003880E-03,  1.43967667E+02
  3.89003890E-03,  1.43729945E+02
  3.90003900E-03,  1.43494065E+02
  3.91003910E-03,  1.43258186E+02
  3.92003920E-03,  1.43024143E+02
  3.93003930E-03,  1.42790101E+02
  3.94003940E-03,  1.42557891E+02
  3.95003950E-03,  1.42325681E+02
  3.96003960E-03,  1.42095298E+02
  3.97003970E-03,  1.41864916E+02
  3.98003980E-03,  1.41636355E+02
  3.99003990E-03,  1.41407794E+02
  4.00004000E-03,  1.41181050E+02
  4.01004010E-03,  1.40954306E+02
  4.02004020E-03,  1.40729373E+02
  4.03004030E-03,  1.40504440E+02
  4.04004040E-03,  1.40281313E+02
  4.05004050E-03,  1.40058186E+02
  4.06004060E-03,  1.39836859E+02
  4.07004070E-03,  1.39615532E+02
  4.08004080E-03,  1.39395999E+02
  4.09004090E-03,  1.39176466E+02
  4.10004100E-03,  1.38958722E+02
  4.11004110E-03,  1.38740977E+02
  4.12004120E-03,  1.38525015E+02
  4.13004130E-03,  1.38309053E+02
  4.14004140E-03,  1.38094868E+02
  4.15004150E-03,  1.37880682E+02
  4.16004160E-03,  1.37668267E+02
  4.17004170E-03,  1.37455852E+02
  4.18004180E-03,  1.37245201E+02
  4.19004190E-03,  1.37034550E+02
  4.20004200E-03,  1.36825657E+02
  4.21004210E-03,  1.36616764E+02
  4.22004220E-03,  1.36409623E+02
  4.23004230E-03,  1.36202481E+02
  4.24004240E-03,  1.35997085E+02
  4.25004250E-03,  1.35791688E+02
  4.26004260E-03,  1.35588030E+02
  4.27004270E-03,  1.35384372E+02
  4.28004280E-03,  1.35182446E+02
  4.29004290E-03,  1.34980520E+02
  4.30004300E-03,  1.34780319E+02
  4.31004310E-03,  1.34580117E+02
  4.32004320E-03,  1.34381635E+02
  4.33004330E-03,  1.34183152E+02
  4.34004340E-03,  1.33986380E+02
  4.35004350E-03,  1.33789609E+02
  4.36004360E-03,  1.33594542E+02
  4.37004370E-03,  1.33399475E+02
  4.38004380E-03,  1.33206106E+02
  4.39004390E-03,  1.33012736E+02
  4.40004400E-03,  1.32821057E+02
  4.41004410E-03,  1.32629378E+02
  4.42004420E-03,  1.32439382E+02
  4.43004430E-03,  1.32249386E+02
  4.44004440E-03,  1.32061066E+02
  4.45004450E-03,  1.31872746E+02
  4.46004460E-03,  1.31686095E+02
  4.47004470E-03,  1.31499444E+02
  4.48004480E-03,  1.31314453E+02
  4.49004490E-03,  1.31129463E+02
  4.50004500E-03,  1.30946127E+02
  4.51004510E-03,  1.30762790E+02
  4.52004520E-03,  1.30581100E+02
  4.53004530E-03,  1.30399410E+02
  4.54004540E-03,  1.30219359E+02
  4.55004550E-03,  1.30039307E+02
  4.56004560E-03,  1.29860887E+02
  4.57004570E-03,  1.29682466E+02
  4.58004580E-03,  1.29505669E+02
  4.59004590E-03,  1.29328872E+02
  4.60004600E-03,  1.29153690E+02
  4.61004610E-03,  1.28978509E+02
  4.62004620E-03,  1.28804935E+02
  4.63004630E-03,  1.28631361E+02
  4.64004640E-03,  1.28459387E+02
  4.65004650E-03,  1.28287413E+02
  4.66004660E-03,  1.28117031E+02
  4.67004670E-03,  1.27946649E+02
  4.68004680E-03,  1.27777851E+02
  4.69004690E-03,  1.27609053E+02
  4.70004700E-03,  1.27441831E+02
  4.71004710E-03,  1.27274609E+02
  4.72004720E-03,  1.27108955E+02
  4.73004730E-03,  1.26943300E+02
  4.74004740E-03,  1.26779206E+02
  4.75004750E-03,  1.26615111E+02
  4.76004760E-03,  1.26452568E+02
  4.77004770E-03,  1.26290025E+02
  4.78004780E-03,  1.26129025E+02
  4.79004790E-03,  1.25968025E+02
  4.80004800E-03,  1.25808561E+02
  4.81004810E-03,  1.25649096E+02
  4.82004820E-03,  1.25491158E+02
  4.83004830E-03,  1.25333220E+02
  4.84004840E-03,  1.25176800E+02
  4.85004850E-03,  1.25020380E+02
  4.86004860E-03,  1.24865470E+02
  4.87004870E-03,  1.24710560E+02
  4.88004880E-03,  1.24557152E+02
  4.89004890E-03,  1.24403744E+02
  4.90004900E-03,  1.24251828E+02
  4.91004910E-03,  1.24099913E+02
  4.92004920E-03,  1.23949482E+02
  4.93004930E-03,  1.23799051E+02
  4.94004940E-03,  1.23650097E+02
  4.95004950E-03,  1.23501142E+02
  4.96004960E-03,  1.23353654E+02
  4.97004970E-03,  1.23206167E+02
  4.98004980E-03,  1.23060138E+02
  4.99004990E-03,  1.22914109E+02
  5.00005000E-03,  1.22769531E+02
  5.01005010E-03,  1.22624952E+02
  5.02005020E-03,  1.22481815E+02
  5.03005030E-03,  1.22338678E+02
  5.04005040E-03,  1.22196973E+02
  5.05005050E-03,  1.22055269E+02
  5.06005060E-03,  1.21914988E+02
  5.07005070E-03,  1.21774708E+02
  5.08005080E-03,  1.21635843E+02
  5.09005090E-03,  1.21496978E+02
  5.10005100E-03,  1.21359519E+02
