X,Y,Z,U,V
0.04,1.66,0.0,-2.376941255815994e-09,3.264382586557225e-09
0.04,1.68,0.0,-2.0698965900216394e-09,2.7752566224670497e-09
0.04,1.7,0.0,-1.7990575631504916e-09,2.358332554520992e-09
0.04,1.72,0.0,-1.560222179237515e-09,2.003581542679973e-09
0.04,1.74,0.0,-1.3495866634370538e-09,1.7023617350716095e-09
0.04,1.76,0.0,-1.163708422065052e-09,1.447246190163177e-09
0.04,1.78,0.0,-9.994703951549314e-10,1.2318727371053702e-09
0.04,1.8,0.0,-8.540468655359651e-10,1.0508135335665663e-09
0.04,1.82,0.0,-7.248707324247656e-10,8.99462335959927e-10
0.04,1.84,0.0,-6.096022106796401e-10,7.739377360902112e-10
0.04,1.86,0.0,-5.060988779278014e-10,6.710008423751308e-10
0.04,1.88,0.0,-4.123869596114007e-10,5.879860944504653e-10
0.04,1.9,0.0,-3.266337156295711e-10,5.227440987209941e-10
0.04,1.92,0.0,-2.4712077083956784e-10,4.735955608657372e-10
0.04,1.94,0.0,-1.7221821548809362e-10,4.3929556429331884e-10
0.04,1.96,0.0,-1.0035966656847324e-10,4.1900466721494333e-10
0.04,1.98,0.0,-3.01487354933004e-11,4.1110318384372085e-10
0.04,2.0,0.0,0.0,0.0
0.06,0.0,0.0,0.1000000014901161,0.0
0.06,0.02,0.0,0.003585619215452759,5.782221172636461e-05
0.06,0.04,0.0,8.449163774035616e-05,5.5969817887728666e-05
0.06,0.06,0.0,1.8378945731704608e-05,5.1496247446928144e-05
0.06,0.08,0.0,1.57795209370953e-05,4.732444118441071e-05
0.06,0.1,0.0,1.4101261507715582e-05,4.3503176313467434e-05
0.06,0.12,0.0,1.2567484939041434e-05,3.9988400702164826e-05
0.06,0.14,0.0,1.116587914366123e-05,3.674641968550792e-05
0.06,0.16,0.0,9.890438866303331e-06,3.37513814508648e-05
0.06,0.1799999999999999,0.0,8.734289659986421e-06,3.09823375853701e-05
0.06,0.2,0.0,7.689933367926146e-06,2.842153473708444e-05
0.06,0.22,0.0,6.7495765032970576e-06,2.605343775325582e-05
0.06,0.2399999999999999,0.0,5.9053890407247005e-06,2.3864150602116695e-05
0.06,0.26,0.0,5.149687542425548e-06,2.184105550769299e-05
0.06,0.28,0.0,4.475057648599327e-06,1.9972576188041355e-05
0.06,0.2999999999999999,0.0,3.874431993500496e-06,1.824801485952924e-05
0.06,0.32,0.0,3.341136380155572e-06,1.6657435065680148e-05
0.06,0.34,0.0,2.8689136517429426e-06,1.5191574158545754e-05
0.06,0.3599999999999999,0.0,2.4519320097520324e-06,1.3841775678394515e-05
0.06,0.38,0.0,2.084782569457436e-06,1.2599935517868377e-05
0.06,0.4,0.0,1.7624695539084209e-06,1.1458457902567776e-05
0.06,0.4199999999999999,0.0,1.480395549631292e-06,1.0410218531252497e-05
0.06,0.44,0.0,1.2343435576321893e-06,9.44853304714475e-06
0.06,0.46,0.0,1.0204570843408916e-06,8.567129551248294e-06
0.06,0.4799999999999999,0.0,8.352191680208804e-07,7.760124229860174e-06
0.06,0.5,0.0,6.754309850474751e-07,7.021999416689577e-06
0.06,0.52,0.0,5.381904985117265e-07,6.347583584631451e-06
0.06,0.54,0.0,4.208714788903686e-07,5.732032887754515e-06
0.06,0.56,0.0,3.2110312911179597e-07,5.170813966018858e-06
0.06,0.5799999999999998,0.0,2.3675047445444442e-07,4.659687793756966e-06
0.06,0.5999999999999999,0.0,1.6589562439607536e-07,4.194694404745196e-06
0.06,0.62,0.0,1.0681997383096849e-07,3.772138366302633e-06
0.06,0.64,0.0,5.798738141863413e-08,3.3885749054149767e-06
0.06,0.66,0.0,1.802834063769918e-08,3.0407966135951568e-06
0.06,0.68,0.0,-1.4274857491257864e-08,2.7258206756406288e-06
0.06,0.7,0.0,-4.000198346002484e-08,2.4408765817842228e-06
0.06,0.7199999999999999,0.0,-6.010777277703203e-08,2.183394293823803e-06
0.06,0.7399999999999999,0.0,-7.543390339095075e-08,1.950992844311201e-06
0.06,0.76,0.0,-8.672008143025248e-08,1.7414693542919267e-06
0.06,0.78,0.0,-9.461427313347193e-08,1.55278845981659e-06
0.06,0.8,0.0,-9.968212319066352e-08,1.3830721408154986e-06
0.06,0.82,0.0,-1.0241560117069853e-07,1.2305899482032556e-06
0.06,0.8399999999999999,0.0,-1.0324091845618072e-07,1.093749626477712e-06
0.06,0.8599999999999999,0.0,-1.025257582908642e-07,9.71088129778251e-07
0.06,0.88,0.0,-1.0058586127558525e-07,8.612630295237467e-07
0.06,0.9,0.0,-9.76910080169305e-08,7.630443114882471e-07
0.06,0.92,0.0,-9.407043970982336e-08,6.753065595995872e-07
0.06,0.94,0.0,-8.991775627956113e-08,5.970215229528886e-07
0.06,0.96,0.0,-8.539533036917392e-08,5.272510615925882e-07
0.06,0.98,0.0,-8.063827397515059e-08,4.6514046559539226e-07
0.06,1.0,0.0,-7.575799294331594e-08,4.09912140933943e-07
0.06,1.02,0.0,-7.084536286676794e-08,3.608596545580925e-07
0.06,1.04,0.0,-6.59735582050611e-08,3.1734213013056685e-07
0.06,1.06,0.0,-6.120056469059863e-08,2.787789849217063e-07
0.06,1.08,0.0,-5.657140332392222e-08,2.4464499752288346e-07
0.06,1.1,0.0,-5.212009250110265e-08,2.144656952933484e-07
0.06,1.12,0.0,-4.787137307828618e-08,1.878130498192089e-07
0.06,1.14,0.0,-4.384221947312187e-08,1.6430146814045825e-07
0.06,1.16,0.0,-4.004315824083124e-08,1.4358406709358404e-07
0.06,1.18,0.0,-3.647941395292522e-08,1.2534921782157006e-07
0.06,1.2,0.0,-3.31519006562285e-08,1.0931734731622754e-07
0.06,1.22,0.0,-3.005807570469743e-08,9.52379837740574e-08
0.06,1.24,0.0,-2.719267134091696e-08,8.288703255930375e-08
