 X,Y,Z,T,T_a
0.0002,0.0023,0.0,368.159,368.15661028066177
0.0002,0.0024,0.0,368.322,368.31898157946097
0.0002,0.0025,0.0,368.469,368.46646996016113
0.0002,0.0026,0.0,368.604,368.60072125016575
0.0002,0.0027,0.0,368.726,368.72313596397913
0.0002,0.0028,0.0,368.838,368.83491237447953
0.0002,0.0029,0.0,368.94,368.9370807628641
0.0002,0.003,0.0,369.034,369.03053087569253
0.0002,0.0031,0.0,369.119,369.1160341014031
0.0002,0.0032,0.0,369.197,369.1942615054827
0.0002,0.0033,0.0,369.269,369.265798590552
0.0002,0.0034,0.0,369.334,369.3311574459357
0.0002,0.0035,0.0,369.394,369.3907868007604
0.0002,0.0036,0.0,369.448,369.445080381232
0.0002,0.0037,0.0,369.498,369.49438388657217
0.0002,0.0038,0.0,369.542,369.5390008320611
0.0002,0.0039,0.0,369.582,369.57919745661763
0.0002,0.004,0.0,369.618,369.6152068526289
0.0002,0.0041,0.0,369.651,369.64723244458173
0.0002,0.0042,0.0,369.679,369.6754509184083
0.0002,0.0043,0.0,369.703,369.70001468382713
0.0002,0.0044,0.0,369.724,369.72105393618796
0.0002,0.0045,0.0,369.742,369.7386783715349
0.0002,0.0046,0.0,369.756,369.752978598136
0.0002,0.0047,0.0,369.767,369.7640272790421
0.0002,0.0048,0.0,369.775,369.7718800329516
0.0002,0.0049,0.0,369.78,369.7765761144252
0.0002,0.005,0.0,369.781,369.7781388890653
0.0002,0.0051,0.0,369.78,369.77657611442515
0.0002,0.0052,0.0,369.775,369.77188003295146
0.0002,0.0053,0.0,369.767,369.764027279042
0.0002,0.0054,0.0,369.756,369.75297859813594
0.0002,0.0055,0.0,369.742,369.7386783715348
0.0002,0.0056,0.0,369.724,369.72105393618796
0.0002,0.0057,0.0,369.703,369.7000146838272
0.0002,0.0058,0.0,369.679,369.6754509184083
0.0002,0.0059,0.0,369.651,369.6472324445818
0.0002,0.006,0.0,369.618,369.61520685262894
